Kecamatan,Jumlah Desa,Contoh Desa/Kelurahan
Anyar,12,"Anyar, Bandulu, Cikoneng, Sindangkarya"
Bandung,8,"Babakan, Bandung, Mander, Pringwulung"
Baros,14,"Baros, Cisalam, Panyirapan, Sukamanah"
Binuang,7,"Binuang, Cakung, Gembor, Renged"
Bojonegara,11,"Bojonegara, Kertasana, Margagiri, Pakuncen"
Carenang,8,"Carenang, Mandaya, Mekarsari, Walikukun"
Cikande,13,"Bakung, Cikande Permai, Situterate, Sukatani"
Cikeusal,17,"Cikeusal, Cilayang, Gandayasa, Sukaratu"
Cinangka,14,"Bantarwangi, Bulakan, Pasauran, Sindanglaya"
Ciomas,11,"Cisitu, Citaman, Lebak, Ujungtebu"
Ciruas,15,"Beberan, Ciruas, Citerep, Singamerta"
Gunung Sari,7,"Ciherang, Gunungsari, Luwuk, Tamiang"
Jawilan,9,"Bojot, Jawilan, Junti, Pasirbuyut"
Kibin,9,"Barengkok, Ciagel, Kibin, Tambak"
Kopo,10,"Cidahu, Gabus, Kopo, Nyompok"
Kragilan,12,"Cisait, Kragilan, Sentul, Undar Andir"
Kramatwatu,15,"Harjatani, Pejaten, Serdang, Wanayasa"
Lebak Wangi,10,"Bolang, Kamaruton, Lebak Wangi, Purwadadi"
Mancak,14,"Angsana, Balekambang, Mancak, Waringin"
Pabuaran,8,"Kadubeureum, Pabuaran, Sindangheula, Tanjungsari"
Padarincang,14,"Barugbug, Batukuwung, Citasuk, Padarincang"
Pamarayan,10,"Binong, Pamarayan, Pasir Kembang, Wirana"
Petir,15,"Mekarbaru, Padasuka, Petir, Sindangsari"
Pontang,11,"Domas, Kubang Puji, Pontang, Singarajan"
Pulo Ampel,9,"Argawana, Banyuwangi, Pulo Ampel, Salira"
Tanara,9,"Bendung, Lempuyang, Tanara, Tenjo Ayu"
Tirtayasa,14,"Alang-alang, Lontar, Sujung, Tirtayasa"
Tunjungteja,9,"Bojong Catang, Malanggah, Sukasari, Tunjungteja"
Waringinkurung,11,"Binangun, Kemuning, Sukadalem, Waringinkurung"
